;SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;Score90;Score45;Score90Home;Score90Guest;Score45Home;Score45Guest;PointsHome;PointsGuest;Aborted;Annulled;League
158;1963;1964;20;Saturday;;;1. FC Kaiserslautern;1860 München;2:1;1:0;2;1;1;0;0;2;False;False;1. Bundesliga
159;1963;1964;20;Saturday;;;VfB Stuttgart;Preußen Münster;0:3;0:1;0;3;0;1;2;0;False;False;1. Bundesliga
160;1963;1964;20;Saturday;;;1. FC Nürnberg;1. FC Saarbrücken;2:0;1:0;2;0;1;0;0;2;False;False;1. Bundesliga
161;1963;1964;20;Saturday;;;Borussia Dortmund;Karlsruher SC;3:2;2:1;3;2;2;1;0;2;False;False;1. Bundesliga
162;1963;1964;20;Saturday;;;Eintracht Braunschweig;Eintracht Frankfurt;0:3;0:2;0;3;0;2;2;0;False;False;1. Bundesliga
163;1963;1964;20;Saturday;;;Hamburger SV;FC Schalke 04;3:1;0:0;3;1;0;0;0;2;False;False;1. Bundesliga
164;1963;1964;20;Saturday;;;1. FC Köln;Hertha BSC;3:1;2:0;3;1;2;0;0;2;False;False;1. Bundesliga
165;1963;1964;20;Saturday;;;Meidericher SV;Werder Bremen;1:0;0:0;1;0;0;0;0;2;False;False;1. Bundesliga
166;1963;1964;21;Saturday;;;FC Schalke 04;Eintracht Braunschweig;2:0;1:0;2;0;1;0;0;2;False;False;1. Bundesliga
167;1963;1964;21;Saturday;;;Hertha BSC;Hamburger SV;1:2;0:1;1;2;0;1;2;0;False;False;1. Bundesliga
168;1963;1964;21;Saturday;;;Werder Bremen;1. FC Köln;1:1;1:0;1;1;1;0;1;1;False;False;1. Bundesliga
169;1963;1964;21;Saturday;;;Preußen Münster;1. FC Kaiserslautern;1:0;0:0;1;0;0;0;0;2;False;False;1. Bundesliga
170;1963;1964;21;Saturday;;;1. FC Saarbrücken;VfB Stuttgart;0:1;0:0;0;1;0;0;2;0;False;False;1. Bundesliga
171;1963;1964;21;Saturday;;;Karlsruher SC;1. FC Nürnberg;1:3;1:2;1;3;1;2;2;0;False;False;1. Bundesliga
172;1963;1964;21;Saturday;;;Eintracht Frankfurt;Borussia Dortmund;2:1;1:0;2;1;1;0;0;2;False;False;1. Bundesliga
173;1963;1964;21;Tuesday;;;1860 München;Meidericher SV;0:0;0:0;0;0;0;0;1;1;False;False;1. Bundesliga
174;1963;1964;22;Saturday;;;1. FC Nürnberg;1860 München;2:2;1:1;2;2;1;1;1;1;False;False;1. Bundesliga
175;1963;1964;22;Saturday;;;Borussia Dortmund;Preußen Münster;0:0;0:0;0;0;0;0;1;1;False;False;1. Bundesliga
176;1963;1964;22;Saturday;;;1. FC Kaiserslautern;1. FC Saarbrücken;2:4;1:2;2;4;1;2;2;0;False;False;1. Bundesliga
177;1963;1964;22;Saturday;;;VfB Stuttgart;Karlsruher SC;4:1;3:0;4;1;3;0;0;2;False;False;1. Bundesliga
178;1963;1964;22;Saturday;;;Meidericher SV;FC Schalke 04;3:0;2:0;3;0;2;0;0;2;False;False;1. Bundesliga
